id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,last_updated,quote_usd_price,quote_usd_volume_24h,quote_usd_volume_change_24h,quote_usd_percent_change_1h,quote_usd_percent_change_24h,quote_usd_percent_change_7d,quote_usd_percent_change_30d,quote_usd_percent_change_60d,quote_usd_percent_change_90d,quote_usd_market_cap,quote_usd_market_cap_dominance,quote_usd_fully_diluted_market_cap,quote_usd_tvl,quote_usd_last_updated,platform_id,platform_name,platform_symbol,platform_slug,platform_token_address
2469,Zilliqa,ZIL,zilliqa,205,2018-01-25T00:00:00Z,21000000000,13032885851,16324353004,72,2022-07-12T00:20:00Z,0.036838299,139918249.2,8.5996,0.18421117,-5.81280403,-7.80049087,-11.95400971,-17.61101479,-65.95156981,480109345.5,0.054,773604278.5,,2022-07-12T00:20:00Z,,,,,
6538,Curve DAO Token,CRV,curve-dao-token,298,2020-08-14T00:00:00Z,3303030299,537372110.6,1775477774,73,2022-07-12T00:20:00Z,0.885437631,114194816.5,0.2284,0.00288357,-6.57047179,2.21306536,-2.85744792,-31.08994305,-60.28650077,475809488.5,0.0535,2924627323,5210630412,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0xD533a949740bb3306d119CC777fa900bA034cd52
7129,TerraClassicUSD,USTC,terrausd,595,2020-09-21T00:00:00Z,,9815452156,10254324366,74,2022-07-12T00:19:00Z,0.046990279,17494473.69,-56.3945,-3.21213194,-7.63792678,-21.90349534,439.6476712,-87.48091931,-95.30419234,461230834.3,0.0519,481853561.9,,2022-07-12T00:19:00Z,,,,,
131,Dash,DASH,dash,344,2014-02-14T00:00:00Z,18900000,10814247.38,10814247.38,75,2022-07-12T00:20:00Z,41.53788548,73762559.89,-1.7205,-0.21483599,-7.80316211,-6.37521014,-15.86392244,-21.9219109,-59.49761206,449200969.1,0.0505,785066035.5,,2022-07-12T00:20:00Z,,,,,
2130,Enjin Coin,ENJ,enjin-coin,257,2017-11-01T00:00:00Z,1000000000,895399955.6,1000000000,76,2022-07-12T00:20:00Z,0.479596674,74216757.33,34.2548,0.2627934,-8.80670233,-12.89085659,-11.41528428,-17.01974882,-69.29106686,429430840.4,0.0483,479596673.8,,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
7186,PancakeSwap,CAKE,pancakeswap,275,2020-09-25T00:00:00Z,750000000,143141849,309610756.4,77,2022-07-12T00:19:00Z,2.952216762,44109421.93,-5.7516,-0.40629223,-5.11490405,-6.6453381,-26.30237267,-22.8578174,-63.36460541,422585766,0.0475,2214162572,2931533834,2022-07-12T00:19:00Z,1839,BNB,BNB,bnb,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
8642,Fei USD,FEI,fei-usd,51,2021-03-02T00:00:00Z,,424996177.8,426116732.7,78,2022-07-12T00:20:00Z,0.986560525,3034514.518,-67.412,0.08234129,-0.75144595,-1.0917407,-0.90499963,-0.51713969,-0.63470289,419284452.1,0.0472,420389947.4,60232428.48,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0x956F47F50A910163D8BF957Cf5846D573E7f87CA
5632,Arweave,AR,arweave,62,2020-05-27T00:00:00Z,66000000,33394701,63190435,79,2022-07-12T00:19:00Z,12.17558103,32446059.55,85.2523,1.35348226,5.76032692,-1.08475013,9.59817136,-17.18696867,-61.80852059,406599888.1,0.0457,803588348.2,,2022-07-12T00:19:00Z,,,,,
5034,Kusama,KSM,kusama,146,2019-12-12T00:00:00Z,,8470098.057,9651217.451,80,2022-07-12T00:20:00Z,46.79093367,24142574.33,10.1291,0.13146978,-5.86644527,-9.63905626,-18.16949031,-30.75671971,-69.67710176,396323796.3,0.0446,451589475.6,,2022-07-12T00:20:00Z,,,,,
4846,Kava,KAVA,kava,82,2019-10-25T00:00:00Z,,225248648,230217397,81,2022-07-12T00:20:00Z,1.682888297,12488994.27,-13.7374,0.0884659,-5.56006735,-6.52000561,-21.04353484,3.52200659,-59.40288482,379068313.7,0.0426,387430163.2,155678263.3,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0x0C356B7fD36a5357E5A017EF11887ba100C9AB76
